gin,description drizly,description caskers
tommyrotter american gin,"Pot-distilled in small batches to articulate a deliberate blend of infused herbs, fruits, roots and flowers. An ode to our craft, this is an independent gin.","This impassioned take on an American gin is pot-distilled in small batches to articulate a deliberate blend of infused herbs, fruits, roots and flowers."
beefeater london dry gin,"When only a tried-and-true dry gin will do, turn to Beefeater London Dry Gin. The gin's recipe dates to 1863 and has stood the test of time, becoming the most award-winning gin over the last decade. Bottled at 40 percent alcohol by volume, Beefeater London boasts maximum flavor in every bottle. You will adore the spiced, fruity notes that make Beefeater comparable to more premium brands, only you'll save a fortune when stocking the liquor cabinet!","Since 1863, Beefeater Gin has remained one of the world’s most classic gins."
rabbit hole london dry gin,,This incredible gin has an exclusive distinction: it is the only gin to be finished in Kentucky rye whiskey barrels.
gray whale gin,"Taste your way along the Pacific Coastline with every sip of this handcrafted gin. Every year the California Gray Whale makes a 12,000-mile migration from the warm lagoons of the Baja Peninsula to the cool waters of the Arctic. Did you notice the California coastline in our logo? Our small batch gin is a celebration of this incredible journey. First, the aroma of citrus hits you, followed by juniper and a subtle hint of coastal fir trees. As you move up the path, fresh mint and the umami flavors of kombu sea kelp are rounded out by a beautiful lasting almond finish.","Gray Whale Gin delivers a taste of California with savory, local, and sustainable botanical infusions. This Brand Battle winner may become your perfect cocktail companion."
hendrick's orbium gin,"It is what Hendrick's might taste like in a parallel universe Orbium is a reimagining of Hendrick's Gin by our Master Distiller, Lesley Gracie. Instilled with additional extracts of Quinine, Wormwood and Blue Lotus Blossom, the result is an oddly exquisite gin that sits roundly on the palate. It is almost certainly not for everyone.","Taking the quintessential Scottish Gin to new worlds, Hendricks Orbium Gin add lotus blossoms, wormwood, and quinine to their signature Gin and reinvent the meaning of the word Gin."
brockmans intensely smooth gin,"Creating Brockmans required the different skills of a group of very experienced and devoted friends. What brought them all together was an enduring fascination with this exciting and exotic spirit. Their combined knowledge of gin history, and the subtle nuances of different styles of gin and distillation proved invaluable as they set out to create a gin that was completely new and original. The one aim was to create a gin like no other; one that was so intensely smooth and delicious you would happily drink it neat over ice. Honing the intricate balance of botanicals took time as they explored the vast array of complex flavours and taste combinations. It was a jointly funded passion where quality was never sacrificed and the finest botanicals were sourced from around the world. Hundreds of different recipes were tried before they arrived at the sensual, intensely smooth Brockmans taste experience.","istilled through a 100 year old traditional copper still, this intensely smooth gin gets its character from its sweet tart berry infusion."
bobby's schiedam dry gin,"Bobby’s Schiedam Dry Gin is named after our grandfather, Jacobus Alfons, known to his friends and family as Bob or Bobby. It was his recipe that inspired us. It took us almost two years to make Bobby’s, a very fine and balanced distilled gin. Eight botanicals all separately distilled. No additives, sugars or extractions. Simply pure taste. A fresh take on a timeless classic.","This exotic fusion of tropical Indonesian spices and traditional gin flavors, creates a truly unique experience."
oxley cold distilled london dry gin,"OXLEY is a revolutionary English gin with a fresh, bright, smooth classic gin taste. In order to capture nature’s freshness, we invented our unbelievably cold distillation process. The result is a flavor you just can’t replicate in traditional heated stills. It allows us to use fresh frozen citrus peel, instead of the typical dried peel. So that inside each of our individually numbered bottles is a bright, distinct, sippable gin","Oxley Gin is one of the first gins to utilize a cold (vacuum) distillation technique, distilling their spirit at subzero temperatures."
suntory roku gin,,This Suntory East meets West fusion is named after the gin’s six quintessentially Japanese botanicals.
nikka coffey gin,"Nikka Coffey Gin is produced with 11 botanicals, including yuzu, sansho pepper, kabosu, amanatsu, and shequasar from Japan. Other botanicals include juniper, angelica, coriander, lemon peel, orange peel, and apple juice.",Nikka’s Coffey Gin has an innate complexity achieved through the perfect harmony between 11 selected botanicals and the silky texture of Coffey distillates.
freeland spirits gin,"Freeland Spirits Gin is small batch crafted using a unique blend of traditional heat distillation along with vacuum distillation, which allows us to use fresh, Pacific Northwest ingredients. Fresh herbal essences of rosemary, mint and crisp cucumber lift the nose. Grapefruit and lemon peel brighten the brisk juniper and bold spice. Pink peppercorn, coriander and star anise mingle with 10 additional dried botanicals in the copper pot still. Fresh botanicals layered with citrus and spice. A balanced gin showcasing the power and elegance of the Northwest. Yes, delicious in cocktails. But we suggest sipping it with just a cube of ice.","This beautiful small batch gin is distilled using fresh, Pacific Northwest ingredients, at Portland’s all-female distillery, Freeland."
hendrick's midsummer solstice gin,"Hendrick’s Midsummer Solstice is a delightfully floral gin that is a lighter and more crisp take on the Hendrick's house style, making it perfect for day-casions such as brunch and enjoying the summertime. Tasting Notes: Lush flora coupled with the unmistakable Hendrick’s signature cucumber & rose finish.","From Master Distiller Lesley Gracie’s “Cabinet of Curiosities” collection, this ethereal Hendrick’s Gin is inspired by the “mysterious and ephemeral delights” of floral blooms during the summer solstice."
hardshore original gin,,This elegant flagship gin executes a meticulous botanical selection of five botanicals chosen by creator Jordan Milne.
magellan gin,,This stunning French gin is crafted using 11 natural botanicals from around the world.
glendalough rose gin,"Floral, fragrant and flavorful. This small batch Gin is a complete rebalance of our Wild Gin recipe with extra fruit, flowers, spices and of course fresh rose petals. Three varieties are vapor distilled – the rare and elusive Wild Rose from the Wicklow mountains, large fragrant Heritage Roses and the ancient prized Damask Rose. The gin is then further infused with even more roses to deepen the flavors and give it its lovely pink hue. This is not just another “pink gin.”","This rosy gin is vapor infused with the rare and elusive Wild Rose from the Wicklow mountains, large fragrant Heritage Roses and the ancient prized Damask Rose."
boodles mulberry gin,"Boodles Proper British Gin introduces Boodles Mulberry, the first-ever mulberry gin in America. Boodles Mulberry pays homage to the humble mulberry tree which has been a familiar sight in the English countryside for centuries. Inspired by the traditional sloe gin liqueur, Boodles Mulberry is a fresh interpretation of a British classic. Traditional sloe gin – a product long steeped in British tradition – serves as the primary inspiration behind Boodles Mulberry. Made with mulberries, Boodles Gin and a blend of natural ingredients, Boodles Mulberry is a liqueur that is perfect for sipping both warm and cold over the holiday season. The taste combines delicate mulberries with notes of raspberry and currant to create a sweet and subtle medley. Boodles Mulberry adds the perfect complement to Boodles British Gin’s unique botanicals of rosemary, nutmeg and sage, creating the proper balance and complexity of flavour.",Inspired by the traditional sloe gin this Mulberry gin is a fresh interpretation of a British classic.
boodles british gin,"Every batch of Boodles Gin is made with labour and patience. It begins as a clean spirit distilled from British wheat. The liquid is then redistilled in a Carter Head copper still, which allows the botanicals to infuse gradually into the spirit. Our unique recipe contains botanicals sourced from the finest growers around the world. Interestingly, Boodles Gin contains no citrus botanicals - a practical decision made by original distillers who expected a proper drink to include a slice of lemon or lime.",This Boodles Gin is crafted from botanicals sourced from the finest growers around the world.
